LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
027_042_00022;38.5;0;-3.93;32.5;0;-4.09;29.454;0;-5.47;29.454;0;-5.47;24.5;0;-3.76;12;0;-3.8;-1;-1;-1;-1;-1;-1;7.5;0;-2.67;7.5;0;-2.67;5;0;-3.24;6;0;-2.69;-1;-1;-1;-1;-1;-1;4.07;0;-4.17;-1;-1;-1;-1;-1;-1;0;0;-4.17;;;;
027_042_00031;45;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38.05;0;-6.02;35;0;-4.78;20.5;0;-3.61;13;0;-1.93;11;0;-1.75;8.5;0;-1.6;8.5;0;-1.6;8;0;-1.97;7;0;-2.15;5.02;0;-3.47;-1;-1;-1;-1;-1;-1;0;0;-3.47;;;;
027_042_00032;45;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38.05;0;-6.02;35;0;-4.78;24.5;0;-4.31;13;0;-1.93;10.5;0;-1.68;8;0;-1.97;8.5;0;-1.6;8;0;-1.97;7;0;-2.15;5.02;0;-3.47;-1;-1;-1;-1;-1;-1;0;0;-3.47;;;;
027_042_00033;55;0;-6.02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;48;0;-5.41;-1;-1;-1;-1;-1;-1;26;0;-1.38;19.5;0;-1.36;17;0;-1.45;12;0;-1.55;11.5;0;-1.9;10;0;-1.88;7.92;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00035;56.88;0;-4.01;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.88;0;-4.01;-1;-1;-1;-1;-1;-1;20.25;0;-1.8;21.25;0;-2.133;18.75;0;-1.8;18.75;0;-1.8;-1;-1;-1;-1;-1;-1;16.545;0;-3.27;-1;-1;-1;-1;-1;-1;0;0;-3.27;;;;
027_042_00036;44;0;-3.96;35;0;-4.15;33.3;0;-5.12;33.3;0;-5.12;32;0;-4.23;30.5;0;-4.25;-1;-1;-1;-1;-1;-1;13.5;0;-1.36;13;0;-1.39;10.5;0;-1.37;8.5;0;-1.43;-1;-1;-1;-1;-1;-1;2.211;0;-2.87;-1;-1;-1;-1;-1;-1;0;0;-2.87;;;;
051_042_00001;26.5;0;-1.174;25.5;0;-1.205;21.598;0;-2.33;17.324;0;-2.33;15.5;0;-1.562;13.5;0;-1.234;-1;-1;-1;-1;-1;-1;9;0;-0.117;9;0;-0.117;6.5;0;-1.24;8.5;0;-0.126;-1;-1;-1;-1;-1;-1;5.181;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
051_042_00012;26.5;0;-1.174;24;0;-1.385;21.598;0;-2.33;17.324;0;-2.33;15.5;0;-1.562;13.5;0;-1.234;-1;-1;-1;-1;-1;-1;9;0;-0.117;9;0;-0.117;6.5;0;-1.24;8.5;0;-0.126;-1;-1;-1;-1;-1;-1;5.181;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
051_042_00014;26.5;0;-1.174;25.5;0;-1.205;21.598;0;-2.33;17.324;0;-2.33;15.5;0;-1.562;15.5;0;-1.562;-1;-1;-1;-1;-1;-1;9;0;-0.117;9;0;-0.117;6.5;0;-1.24;8.5;0;-0.126;-1;-1;-1;-1;-1;-1;5.181;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
051_042_00017;21;0;-0.764;18.5;0;-1.469;17.378;0;-2.25;17.321;0;-2.25;16;0;-1.59;15.5;0;-1.276;-1;-1;-1;-1;-1;-1;8;0;-0.442;6.5;0;-0.399;4;0;-0.773;5.5;0;-0.38;-1;-1;-1;-1;-1;-1;2.897;0;-1.14;-1;-1;-1;-1;-1;-1;0;0;-1.14;;;;
