Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
077_042_00019;50.45;0;-0.66;50.19;0;-0.92;44.93;0;-2.31;44.93;0;-2.31;39.38;0;-0.79;39.32;0;-0.67;-1;-1;-1;-1;-1;-1;38.34;0;-0.13;37.79;0;-0.11;35.29;0;-0.72;36.78;0;-0.22;-1;-1;-1;-1;-1;-1;26.63;0;-2.12;-1;-1;-1;-1;-1;-1;0;0;-2.2;;;;
083_042_00012;42.907;0;-2.73;36.517;0;-2.82;34.883;0;-4.312;34.57;0;-4.312;32.981;0;-3.08;32.469;0;-3.08;-1;-1;-1;-1;-1;-1;19.037;0;-0.03;19.037;0;-0.03;16.537;0;0.008;12.907;0;-0.06;-1;-1;-1;-1;-1;-1;3.907;0;-3.67;-1;-1;-1;-1;-1;-1;0;0;-4.003;;;;
083_042_00014;60;0;-5.1;51.682;0;-5.1;51.682;0;-5.1;51.682;0;-5.1;50;0;-3.169;40.06;0;-2.59;-1;-1;-1;-1;-1;-1;28.42;0;-0.29;26.48;0;-0.2;23.98;0;-0.323;20.5;0;-0.06;-1;-1;-1;-1;-1;-1;10;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3;;;;
083_042_00015;70;0;-3.505;53.59;0;-3.498;52.297;0;-4.76;51.702;0;-4.763;50.576;0;-3.305;49.325;0;-3.126;-1;-1;-1;-1;-1;-1;36.88;0;0.01;33.53;0;-0.24;31.03;0;-0.342;24.72;0;-0.3;-1;-1;-1;-1;-1;-1;20.545;0;-1.884;-1;-1;-1;-1;-1;-1;0;0;-4.315;;;;
083_042_00016;46.364;0;-3.6;35.285;0;-3.59;33.535;0;-4.84;32.325;0;-4.64;32.075;0;-3.97;31.802;0;-3.9;-1;-1;-1;-1;-1;-1;15.385;0;-0.15;15.385;0;-0.15;12.885;0;-0.735;14.255;0;-0.11;-1;-1;-1;-1;-1;-1;8.605;0;-1.94;-1;-1;-1;-1;-1;-1;0;0;-1.94;;;;
083_042_00017;42.5;0;-4.6;32.905;0;-4.6;32.905;0;-4.6;32.905;0;-4.6;29.967;0;-3.106;29.967;0;-3.106;-1;-1;-1;-1;-1;-1;16.66;0;0.05;16.66;0;0.05;14.16;0;-0.085;14.53;0;0.07;-1;-1;-1;-1;-1;-1;7.5;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
083_042_00018;50.167;0;-2.8;40.783;0;-2.807;38.739;0;-4.27;38.401;0;-4.271;36.051;0;-3.078;36.051;0;-3.078;-1;-1;-1;-1;-1;-1;23.17;0;-0.03;23.17;0;-0.03;20.67;0;0.008;17.04;0;-0.06;-1;-1;-1;-1;-1;-1;10;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
083_042_00019;50;0;-2.8;40.783;0;-2.807;38.986;0;-4.045;38.7;0;-4.04;34.386;0;-2.5;34.386;0;-2.5;-1;-1;-1;-1;-1;-1;23.17;0;-0.03;23.17;0;-0.03;20.67;0;0.008;17.04;0;-0.06;-1;-1;-1;-1;-1;-1;10;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3;;;;
083_042_00020;60.143;0;-2.73;43.753;0;-2.82;41.88;0;-4.294;41.681;0;-4.291;40.053;0;-3.04;39.822;0;-3.041;-1;-1;-1;-1;-1;-1;26.273;0;-0.03;26.273;0;-0.03;23.773;0;0.008;20.143;0;-0.06;-1;-1;-1;-1;-1;-1;18.633;0;-1.23;-1;-1;-1;-1;-1;-1;0;0;-2.293;;;;
083_042_00021;45.371;0;-2.73;38.981;0;-2.82;37.096;0;-4.221;36.882;0;-4.22;35.445;0;-3.08;34.933;0;-3.08;-1;-1;-1;-1;-1;-1;21.501;0;-0.03;21.501;0;-0.03;19.001;0;0.008;15.371;0;-0.06;-1;-1;-1;-1;-1;-1;13.181;0;-1.33;-1;-1;-1;-1;-1;-1;0;0;-1.33;;;;
